airline_origin,min_taxi,max_taxi,avg_taxi
9E-ALB,0.0,101.0,26.544369
9E-ALO,0.0,83.0,24.945423
9E-ATL,9.0,300.0,29.654678
9E-ATW,0.0,191.0,27.141863
9E-AUS,0.0,104.0,24.830795
9E-AVL,0.0,168.0,26.959259
9E-AVP,0.0,107.0,28.39558
9E-AZO,0.0,152.0,26.152184
9E-BGM,0.0,157.0,25.590557
9E-BGR,0.0,209.0,29.328535
9E-BIL,12.0,101.0,27.975
9E-BIS,0.0,93.0,21.57887
9E-BJI,0.0,99.0,20.079601
9E-BNA,0.0,158.0,27.598892
9E-BTV,0.0,163.0,30.559055
9E-BZN,0.0,85.0,36.1875
9E-CAK,0.0,138.0,28.013775
9E-CHA,0.0,77.0,20.566536
9E-CHS,0.0,122.0,26.180384
9E-CLE,0.0,154.0,29.470041
9E-CLT,0.0,314.0,27.271763
9E-CPR,0.0,109.0,28.745726
9E-CVG,0.0,190.0,29.143036
9E-CWA,0.0,123.0,24.795454
9E-DCA,0.0,255.0,25.272577
9E-DEN,0.0,100.0,29.393913
9E-DLH,0.0,142.0,27.914392
9E-DTW,0.0,193.0,26.94894
9E-EAU,0.0,52.0,21.541666
9E-FAR,0.0,170.0,22.99152
9E-FNT,0.0,116.0,23.586658
9E-FSD,0.0,90.0,23.727411
9E-FSM,0.0,131.0,19.473965
9E-GFK,0.0,98.0,20.85124
9E-GPT,0.0,122.0,18.866154
9E-HLN,0.0,91.0,28.203194
9E-IAD,0.0,163.0,33.55963
9E-ICT,0.0,135.0,23.699553
9E-JAN,0.0,156.0,23.760672
9E-JAX,0.0,211.0,22.217175
9E-LEX,0.0,176.0,25.415209
9E-LGA,0.0,281.0,38.63069
9E-LIT,0.0,117.0,28.003592
9E-LNK,0.0,129.0,23.020922
9E-LSE,0.0,119.0,21.164984
9E-MCO,23.0,23.0,23.0
9E-MEM,0.0,230.0,24.94663
9E-MKE,15.0,149.0,27.887096
9E-MSY,17.0,51.0,28.6
9E-OKC,0.0,184.0,26.550974
9E-OMA,0.0,140.0,25.543478
9E-PFN,0.0,110.0,18.660185
9E-PIA,0.0,102.0,29.40555
9E-PIR,14.0,30.0,19.666666
9E-PIT,0.0,218.0,27.862192
9E-PNS,0.0,92.0,19.160666
9E-PWM,0.0,129.0,28.438288
9E-RAP,0.0,73.0,24.18441
9E-RDU,0.0,101.0,23.136377
9E-RIC,0.0,176.0,26.05832
9E-ROA,0.0,152.0,27.955706
9E-ROC,0.0,145.0,30.262365
9E-RSW,0.0,61.0,26.258503
9E-SCE,0.0,109.0,27.090584
9E-SDF,0.0,120.0,23.773165
9E-SLC,0.0,83.0,34.685715
9E-SUX,0.0,210.0,21.567442
9E-SWF,0.0,122.0,30.35021
9E-TLH,0.0,93.0,18.594988
9E-TVC,0.0,148.0,28.818804
9E-XNA,0.0,168.0,26.21527
AA-ABQ,0.0,619.0,23.43472
AA-ALB,0.0,1015.0,25.517689
AA-ANC,0.0,73.0,22.353323
AA-AUS,0.0,1380.0,21.574503
AA-BDL,0.0,980.0,24.51431
AA-BHM,0.0,896.0,23.293888
AA-BNA,0.0,946.0,22.455622
AA-BWI,0.0,978.0,25.061935
AA-CLT,0.0,924.0,26.655628
AA-CVG,0.0,938.0,29.284353
AA-DAL,0.0,174.0,19.348038
AA-DCA,0.0,1450.0,23.86697
AA-DEN,0.0,932.0,26.040966
AA-EGE,0.0,824.0,34.012024
AA-ELP,0.0,754.0,23.252111
AA-EWR,0.0,1032.0,32.528015
AA-FAT,0.0,978.0,25.59517
AA-FLL,0.0,1520.0,26.477911
AA-GSO,0.0,884.0,24.513184
AA-HNL,0.0,1450.0,24.626253
AA-HPN,0.0,987.0,26.70983
AA-IAH,0.0,1003.0,25.636541
AA-ICT,0.0,366.0,22.742485
AA-IND,0.0,862.0,24.624468
AA-JAX,0.0,687.0,24.35008
AA-KOA,0.0,1437.0,19.310936
AA-LAX,0.0,1450.0,25.60607
AA-LGA,0.0,1558.0,33.829464
AA-LIH,0.0,1430.0,18.69987
AA-MCI,0.0,1011.0,23.27738
AA-MCO,0.0,1367.0,22.960764
AA-MDT,0.0,915.0,22.09746
AA-MDW,0.0,1407.0,28.16907
AA-MFE,0.0,899.0,20.231236
AA-MIA,0.0,1425.0,26.262442
AA-MLI,0.0,130.0,15.741111
AA-MSP,0.0,911.0,27.275114
AA-MSY,0.0,1348.0,21.148584
AA-MTJ,0.0,540.0,28.324268
AA-OAK,0.0,901.0,26.463707
AA-ONT,0.0,827.0,23.71284
AA-ORF,0.0,673.0,23.906631
AA-PBI,0.0,910.0,23.70992
AA-PSP,0.0,788.0,23.380648
AA-PVD,0.0,926.0,26.07922
AA-RSW,0.0,849.0,23.03039
